id,user_query,lang,parsed_intent,entities,knowledge_ids,reasoning_chain,solution_response,citation
M000011,"My boss dismissed me yesterday. (I work as crops and animal production in agriculture, based in Dar es Salaam.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000012,"My boss dismissed me yesterday. (I work as dispensary in health, based in Dar es Salaam.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000013,"My boss dismissed me yesterday. (I work as diplomat household in domestic, based in Dar es Salaam.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000014,"My boss dismissed me yesterday. (I work as 3-star hotel in hospitality, based in Dar es Salaam.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000015,"My boss dismissed me yesterday. (I work as domestic security in security, based in Dar es Salaam.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000016,"My boss dismissed me yesterday. (I work as inland transport in transport, based in Dar es Salaam.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000017,"My boss dismissed me yesterday. (I work as mining/prospecting in mining, based in Dar es Salaam.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000018,"My boss dismissed me yesterday. (I work as secondary school in education, based in Dar es Salaam.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000019,"My boss dismissed me yesterday. (I work as microfinance in finance, based in Dar es Salaam.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000020,"My boss dismissed me yesterday. (I work as other sector in other, based in Dar es Salaam.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000021,"I got terminated for no reason. (I work as crops and animal production in agriculture, based in Dar es Salaam.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000022,"I got terminated for no reason. (I work as dispensary in health, based in Dar es Salaam.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000023,"I got terminated for no reason. (I work as diplomat household in domestic, based in Dar es Salaam.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000024,"I got terminated for no reason. (I work as 3-star hotel in hospitality, based in Dar es Salaam.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000025,"I got terminated for no reason. (I work as domestic security in security, based in Dar es Salaam.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000026,"I got terminated for no reason. (I work as inland transport in transport, based in Dar es Salaam.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000027,"I got terminated for no reason. (I work as mining/prospecting in mining, based in Dar es Salaam.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000028,"I got terminated for no reason. (I work as secondary school in education, based in Dar es Salaam.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000029,"I got terminated for no reason. (I work as microfinance in finance, based in Dar es Salaam.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000030,"I got terminated for no reason. (I work as other sector in other, based in Dar es Salaam.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000031,"I lost my job today. (I work as crops and animal production in agriculture, based in Dar es Salaam.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000032,"I lost my job today. (I work as dispensary in health, based in Dar es Salaam.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000033,"I lost my job today. (I work as diplomat household in domestic, based in Dar es Salaam.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000034,"I lost my job today. (I work as 3-star hotel in hospitality, based in Dar es Salaam.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000035,"I lost my job today. (I work as domestic security in security, based in Dar es Salaam.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000036,"I lost my job today. (I work as inland transport in transport, based in Dar es Salaam.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
M000037,"I lost my job today. (I work as mining/prospecting in mining, based in Dar es Salaam.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Dar es Salaam,"K001,K014,K018","Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.","This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)
