dialog_id,turn,speaker,text,lang,annotation
D008,6,bot,"[Reasoning: Intent=leave_query → toa K005+K006+K007+K008+K009. Onyesha haki zote 5.] Chini ya ELRA una haki za: siku 28 likizo ya mwaka (s.29); hadi siku 126 za ugonjwa kwa mzunguko wa miaka 3 (s.32); siku 84 za uzazi zenye malipo (s.33, pamoja na nyongeza kwa kuzaliwa kabla ya muda hadi wiki 40); siku 3 za baba (au siku 7 za ziada kwa premature); na hadi siku 30 za likizo bila malipo.",sw,"L5:MAP kids=K005,K006,K007,K008,K009; cite=ELRA 2004 s.29; ELRA 2004 s.32; ELRA 2004 s.33 (amended); ELRA 2004 s.34 (amended); LLA 4/2025"
D008,7,user,Asante.,sw,L1:THANKS
D008,8,bot,Karibu. Bahati njema.,sw,L1:THANKS_REPLY
D009,1,user,Hi,en,L1:GREET
D009,2,bot,"Hi! I'm Sheria-Bot, your Tanzania employment-law AI. How can I help?",en,L1:GREET_RESPONSE
D009,3,user,"My name is Sarah, I'm a nurse in the health sector, based in Musoma.",en,"L3:INTRO extracted={name},{occ},{sec_en},{region}"
D009,4,bot,"Nice to meet you, Sarah. What employment question can I help with?",en,L3:INTRO_ACK
D009,5,user,How do I lodge a CMA case?,en,L4:INTENT=cma_filing
D009,6,bot,"[Reasoning: Intent=cma_filing → retrieve K014 + K029 + K032. Explain filing process.] File CMA Form 1 at the nearest CMA office within 60 days of the dispute. No fee. Include both parties' details, dispute date and facts, evidence (contract, payslips, dismissal letter, witness statements), and the remedy you seek. Mediation attendance is mandatory under LLA 4/2025.",en,"L5:MAP kids=K014,K029,K032; cite=CMA Rules; ELRA 2004 s.86(7) (LLA 4/2025)"
D009,7,user,Thank you.,en,L1:THANKS
D009,8,bot,You're welcome. Good luck.,en,L1:THANKS_REPLY
D010,1,user,Habari,sw,L1:GREET
D010,2,bot,"Habari yako! Mimi ni Sheria-Bot, msaidizi wa AI wa sheria ya kazi. Naweza kukusaidia vipi?",sw,L1:GREET_RESPONSE
D010,3,user,"Jina langu ni Khadija, mimi ni mhudumu wa mapokezi ukarimu, niko Mbeya.",sw,"L3:INTRO extracted=Khadija,receptionist,hospitality,Mbeya"
D010,4,bot,Karibu Khadija. Una swali gani la kazi?,sw,L3:INTRO_ACK
D010,5,user,Niwasilishe wapi malalamiko?,sw,L4:INTENT=cma_filing
D010,6,bot,"[Reasoning: Intent=cma_filing → toa K014+K029+K032.] Jaza Fomu Na. 1 ya CMA katika ofisi ya CMA iliyo karibu ndani ya siku 60 ya mgogoro. Bila ada. Jumuisha taarifa za pande mbili, tarehe na ukweli, ushahidi (mkataba, slip za mshahara, barua ya kufukuzwa, taarifa za mashahidi), na suluhu unayoomba. Kuhudhuria ni lazima chini ya LLA 4/2025.",sw,"L5:MAP kids=K014,K029,K032; cite=CMA Rules; ELRA 2004 s.86(7) (LLA 4/2025)"
D010,7,user,Asante.,sw,L1:THANKS
D010,8,bot,Karibu. Bahati njema.,sw,L1:THANKS_REPLY
D011,1,user,Hi,en,L1:GREET
D011,2,bot,"Hi! I'm Sheria-Bot, your Tanzania employment-law AI. How can I help?",en,L1:GREET_RESPONSE
D011,3,user,"My name is Grace, I'm a delivery rider in the transport sector, based in Mtwara.",en,"L3:INTRO extracted={name},{occ},{sec_en},{region}"
D011,4,bot,"Nice to meet you, Grace. What employment question can I help with?",en,L3:INTRO_ACK
D011,5,user,My boss makes inappropriate comments.,en,L4:INTENT=harassment
D011,6,bot,"[Reasoning: Intent=harassment → retrieve K022 (sexual harassment unlawful) + K014 (CMA) + K018 (remedies).] Sexual harassment at workplace by employer or co-employee is unlawful discrimination under ELRA s.7(4). Document each incident (date, words/actions, witnesses). File CMA Form 1 within 60 days. Remedies include compensation of 12-24 months remuneration under amended s.40.",en,"L5:MAP kids=K022,K014,K018; cite=ELRA s.7(4); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)"
D011,7,user,Thank you.,en,L1:THANKS
D011,8,bot,You're welcome. Good luck.,en,L1:THANKS_REPLY
D012,1,user,Habari,sw,L1:GREET
D012,2,bot,"Habari yako! Mimi ni Sheria-Bot, msaidizi wa AI wa sheria ya kazi. Naweza kukusaidia vipi?",sw,L1:GREET_RESPONSE
D012,3,user,"Jina langu ni Hassan, mimi ni meneja wa hoteli ukarimu, niko Zanzibar.",sw,"L3:INTRO extracted=Hassan,hotel manager,hospitality,Zanzibar"
D012,4,bot,Karibu Hassan. Una swali gani la kazi?,sw,L3:INTRO_ACK
D012,5,user,Bosi anasema maneno yasiyofaa.,sw,L4:INTENT=harassment
D012,6,bot,"[Reasoning: Intent=harassment → toa K022+K014+K018.] Unyanyasaji wa kingono kazini ni ubaguzi haramu chini ya ELRA s.7(4). Hifadhi kila tukio (tarehe, maneno/vitendo, mashahidi). Peleka CMA Fomu 1 ndani ya siku 60. Suluhu: fidia ya miezi 12-24 chini ya s.40 (boresha).",sw,"L5:MAP kids=K022,K014,K018; cite=ELRA s.7(4); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)"
D012,7,user,Asante.,sw,L1:THANKS
D012,8,bot,Karibu. Bahati njema.,sw,L1:THANKS_REPLY
D013,1,user,Hi,en,L1:GREET
D013,2,bot,"Hi! I'm Sheria-Bot, your Tanzania employment-law AI. How can I help?",en,L1:GREET_RESPONSE
D013,3,user,"My name is Eunice, I'm a waiter in the hospitality sector, based in Musoma.",en,"L3:INTRO extracted={name},{occ},{sec_en},{region}"
D013,4,bot,"Nice to meet you, Eunice. What employment question can I help with?",en,L3:INTRO_ACK
D013,5,user,I'm being retrenched.,en,L4:INTENT=retrenchment
D013,6,bot,"[Reasoning: Intent=retrenchment → K013+K003.] Retrenchment under ELRA s.38 requires: (1) notice of intention as soon as contemplated; (2) disclosure of relevant information; (3) consultation on reasons, alternatives, selection criteria, timing, severance; (4) severance pay of 7 days basic × years served (cap 10). If the procedure was skipped, refer to CMA.",en,"L5:MAP kids=K013,K003; cite=ELRA 2004 s.38; ELRA 2004 s.42"
D013,7,user,Thank you.,en,L1:THANKS
D013,8,bot,You're welcome. Good luck.,en,L1:THANKS_REPLY
D014,1,user,Habari,sw,L1:GREET
D014,2,bot,"Habari yako! Mimi ni Sheria-Bot, msaidizi wa AI wa sheria ya kazi. Naweza kukusaidia vipi?",sw,L1:GREET_RESPONSE
D014,3,user,"Jina langu ni Ali, mimi ni daktari afya, niko Pemba.",sw,"L3:INTRO extracted=Ali,doctor,health,Pemba"
D014,4,bot,Karibu Ali. Una swali gani la kazi?,sw,L3:INTRO_ACK
D014,5,user,Kampuni inapunguza wafanyakazi.,sw,L4:INTENT=retrenchment
D014,6,bot,"[Reasoning: Intent=retrenchment → K013+K003.] Retrenchment chini ya ELRA s.38 inahitaji: (1) notisi ya nia mapema; (2) kutoa taarifa muhimu; (3) majadiliano kuhusu sababu, mbadala, vigezo, muda, kifuta jasho; (4) kifuta jasho cha siku 7 × miaka (hadi 10). Iwapo utaratibu haukufuatwa, peleka CMA.",sw,"L5:MAP kids=K013,K003; cite=ELRA 2004 s.38; ELRA 2004 s.42"
D014,7,user,Asante.,sw,L1:THANKS
D014,8,bot,Karibu. Bahati njema.,sw,L1:THANKS_REPLY
D015,1,user,Hi,en,L1:GREET
D015,2,bot,"Hi! I'm Sheria-Bot, your Tanzania employment-law AI. How can I help?",en,L1:GREET_RESPONSE
D015,3,user,"My name is Janet, I'm a pharmacist in the health sector, based in Musoma.",en,"L3:INTRO extracted={name},{occ},{sec_en},{region}"
D015,4,bot,"Nice to meet you, Janet. What employment question can I help with?",en,L3:INTRO_ACK
D015,5,user,Workplace accident yesterday.,en,L4:INTENT=workplace_injury
D015,6,bot,"[Reasoning: Intent=injury/wcf → K023.] Report the injury immediately to your employer in writing AND to the Workers Compensation Fund (WCF). File the WCF claim within 12 months of injury. Under WCA 2008 you may receive medical treatment, periodic payments while disabled, and lump-sum compensation.",en,L5:MAP kids=K023; cite=WCA 2008
D015,7,user,Thank you.,en,L1:THANKS
D015,8,bot,You're welcome. Good luck.,en,L1:THANKS_REPLY
D016,1,user,Habari,sw,L1:GREET
D016,2,bot,"Habari yako! Mimi ni Sheria-Bot, msaidizi wa AI wa sheria ya kazi. Naweza kukusaidia vipi?",sw,L1:GREET_RESPONSE
D016,3,user,"Jina langu ni Salum, mimi ni msusi viwanda, niko Singida.",sw,"L3:INTRO extracted=Salum,hairdresser,industrial,Singida"
D016,4,bot,Karibu Salum. Una swali gani la kazi?,sw,L3:INTRO_ACK
D016,5,user,Ajali ya kazini jana.,sw,L4:INTENT=workplace_injury
D016,6,bot,"[Reasoning: Intent=jeraha → K023.] Ripoti jeraha haraka kwa mwajiri kwa maandishi NA Mfuko wa Fidia ya Wafanyakazi (WCF). Wasilisha madai WCF ndani ya miezi 12. Chini ya WCA 2008 una haki ya matibabu, malipo ya muda wa ulemavu, na fidia ya jumla.",sw,L5:MAP kids=K023; cite=WCA 2008
D016,7,user,Asante.,sw,L1:THANKS
D016,8,bot,Karibu. Bahati njema.,sw,L1:THANKS_REPLY
D017,1,user,Hi,en,L1:GREET
D017,2,bot,"Hi! I'm Sheria-Bot, your Tanzania employment-law AI. How can I help?",en,L1:GREET_RESPONSE
D017,3,user,"My name is Eunice, I'm a tailor in the industrial sector, based in Iringa.",en,"L3:INTRO extracted={name},{occ},{sec_en},{region}"
D017,4,bot,"Nice to meet you, Eunice. What employment question can I help with?",en,L3:INTRO_ACK
D017,5,user,Is a 24-month contract legal?,en,L4:INTENT=fixed_term_query
D017,6,bot,"[Reasoning: Intent=fixed_term → K020.] Under amended ELRA s.14(1)(b) (LLA 4/2025), fixed-term is allowed only for: (1) temporary workload ≤12mo, (2) graduate trainee ≤24mo, (3) seasonal, (4) specific project, (5) non-citizen matched to work permit, (6) public scheme, (7) externally-funded, (8) retiree, (9) tender-based.",en,L5:MAP kids=K020; cite=ELRA 2004 s.14(1)(b) (LLA 4/2025)
D017,7,user,Thank you.,en,L1:THANKS
D017,8,bot,You're welcome. Good luck.,en,L1:THANKS_REPLY
D018,1,user,Habari,sw,L1:GREET
D018,2,bot,"Habari yako! Mimi ni Sheria-Bot, msaidizi wa AI wa sheria ya kazi. Naweza kukusaidia vipi?",sw,L1:GREET_RESPONSE
D018,3,user,"Jina langu ni Mwana, mimi ni fundi mkuu ujenzi, niko Iringa.",sw,"L3:INTRO extracted=Mwana,foreman,construction,Iringa"
D018,4,bot,Karibu Mwana. Una swali gani la kazi?,sw,L3:INTRO_ACK
D018,5,user,Mwajiri anaweza kutumia mkataba wa muda?,sw,L4:INTENT=fixed_term_query
D018,6,bot,"[Reasoning: Intent=fixed_term → K020.] Chini ya ELRA s.14(1)(b) (LLA 4/2025), fixed-term inaruhusiwa tu kwa: (1) kazi ya muda ≤miezi 12, (2) graduate trainee ≤miezi 24, (3) msimu, (4) mradi maalum, (5) raia wa kigeni=kibali, (6) miradi ya umma, (7) ufadhili wa nje, (8) wastaafu, (9) tenda.",sw,L5:MAP kids=K020; cite=ELRA 2004 s.14(1)(b) (LLA 4/2025)
D018,7,user,Asante.,sw,L1:THANKS
D018,8,bot,Karibu. Bahati njema.,sw,L1:THANKS_REPLY
D019,1,user,Hi,en,L1:GREET
D019,2,bot,"Hi! I'm Sheria-Bot, your Tanzania employment-law AI. How can I help?",en,L1:GREET_RESPONSE
D019,3,user,"My name is Andrew, I'm a tailor in the industrial sector, based in Bukoba.",en,"L3:INTRO extracted={name},{occ},{sec_en},{region}"
D019,4,bot,"Nice to meet you, Andrew. What employment question can I help with?",en,L3:INTRO_ACK
D019,5,user,I do extra hours but no overtime pay.,en,L4:INTENT=overtime_dispute
D019,6,bot,[Reasoning: Intent=overtime_dispute → K010+K011.] Overtime must be paid at 1.5x basic wage under ELRA s.19. Work on rest day or public holiday is paid at 2x. Maximum 12 hours overtime per week. Keep records of authorised overtime hours. Unpaid overtime is a CMA-referable dispute.,en,"L5:MAP kids=K010,K011; cite=ELRA 2004 s.19"
D019,7,user,Thank you.,en,L1:THANKS
D019,8,bot,You're welcome. Good luck.,en,L1:THANKS_REPLY
D020,1,user,Habari,sw,L1:GREET
D020,2,bot,"Habari yako! Mimi ni Sheria-Bot, msaidizi wa AI wa sheria ya kazi. Naweza kukusaidia vipi?",sw,L1:GREET_RESPONSE
D020,3,user,"Jina langu ni Mariam, mimi ni mtunza bustani kilimo, niko Singida.",sw,"L3:INTRO extracted=Mariam,gardener,agriculture,Singida"
D020,4,bot,Karibu Mariam. Una swali gani la kazi?,sw,L3:INTRO_ACK
D020,5,user,Madai ya overtime.,sw,L4:INTENT=overtime_dispute
D020,6,bot,[Reasoning: Intent=overtime → K010+K011.] Saa za ziada lazima zilipwe mara 1.5 ya mshahara chini ya ELRA s.19. Siku ya mapumziko au sikukuu: mara 2. Juu ya saa 12 za ziada kwa wiki. Hifadhi rekodi ya saa zilizoidhinishwa. Overtime isiyo na malipo ni mgogoro wa CMA.,sw,"L5:MAP kids=K010,K011; cite=ELRA 2004 s.19"
D020,7,user,Asante.,sw,L1:THANKS
D020,8,bot,Karibu. Bahati njema.,sw,L1:THANKS_REPLY
