id,utterance,lang,intent_label,extracted_entities,confidence_hint
N000068,"I got terminated for no reason. (I work as diplomat household in domestic, based in Arusha.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Arusha,high
N000069,"I got terminated for no reason. (I work as diplomat household in domestic, based in Mwanza.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Mwanza,high
N000070,"I got terminated for no reason. (I work as 3-star hotel in hospitality, based in Dar es Salaam.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Dar es Salaam,high
N000071,"I got terminated for no reason. (I work as 3-star hotel in hospitality, based in Arusha.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Arusha,high
N000072,"I got terminated for no reason. (I work as 3-star hotel in hospitality, based in Mwanza.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Mwanza,high
N000073,"I got terminated for no reason. (I work as domestic security in security, based in Dar es Salaam.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Dar es Salaam,high
N000074,"I got terminated for no reason. (I work as domestic security in security, based in Arusha.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Arusha,high
N000075,"I got terminated for no reason. (I work as domestic security in security, based in Mwanza.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Mwanza,high
N000076,"I got terminated for no reason. (I work as inland transport in transport, based in Dar es Salaam.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Dar es Salaam,high
N000077,"I got terminated for no reason. (I work as inland transport in transport, based in Arusha.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Arusha,high
N000078,"I got terminated for no reason. (I work as inland transport in transport, based in Mwanza.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Mwanza,high
N000079,"I got terminated for no reason. (I work as mining/prospecting in mining, based in Dar es Salaam.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Dar es Salaam,high
N000080,"I got terminated for no reason. (I work as mining/prospecting in mining, based in Arusha.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Arusha,high
N000081,"I got terminated for no reason. (I work as mining/prospecting in mining, based in Mwanza.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Mwanza,high
N000082,"I got terminated for no reason. (I work as secondary school in education, based in Dar es Salaam.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Dar es Salaam,high
N000083,"I got terminated for no reason. (I work as secondary school in education, based in Arusha.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Arusha,high
N000084,"I got terminated for no reason. (I work as secondary school in education, based in Mwanza.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Mwanza,high
N000085,"I got terminated for no reason. (I work as microfinance in finance, based in Dar es Salaam.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Dar es Salaam,high
N000086,"I got terminated for no reason. (I work as microfinance in finance, based in Arusha.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Arusha,high
N000087,"I got terminated for no reason. (I work as microfinance in finance, based in Mwanza.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Mwanza,high
N000088,"I got terminated for no reason. (I work as other sector in other, based in Dar es Salaam.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Dar es Salaam,high
N000089,"I got terminated for no reason. (I work as other sector in other, based in Arusha.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Arusha,high
N000090,"I got terminated for no reason. (I work as other sector in other, based in Mwanza.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Mwanza,high
N000091,"I lost my job today. (I work as crops and animal production in agriculture, based in Dar es Salaam.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Dar es Salaam,high
N000092,"I lost my job today. (I work as crops and animal production in agriculture, based in Arusha.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Arusha,high
N000093,"I lost my job today. (I work as crops and animal production in agriculture, based in Mwanza.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Mwanza,high
N000094,"I lost my job today. (I work as dispensary in health, based in Dar es Salaam.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Dar es Salaam,high
N000095,"I lost my job today. (I work as dispensary in health, based in Arusha.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Arusha,high
N000096,"I lost my job today. (I work as dispensary in health, based in Mwanza.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Mwanza,high
N000097,"I lost my job today. (I work as diplomat household in domestic, based in Dar es Salaam.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Dar es Salaam,high
N000098,"I lost my job today. (I work as diplomat household in domestic, based in Arusha.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Arusha,high
N000099,"I lost my job today. (I work as diplomat household in domestic, based in Mwanza.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Mwanza,high
N000100,"I lost my job today. (I work as 3-star hotel in hospitality, based in Dar es Salaam.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Dar es Salaam,high
N000101,"I lost my job today. (I work as 3-star hotel in hospitality, based in Arusha.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Arusha,high
N000102,"I lost my job today. (I work as 3-star hotel in hospitality, based in Mwanza.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Mwanza,high
N000103,"I lost my job today. (I work as domestic security in security, based in Dar es Salaam.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Dar es Salaam,high
N000104,"I lost my job today. (I work as domestic security in security, based in Arusha.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Arusha,high
N000105,"I lost my job today. (I work as domestic security in security, based in Mwanza.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Mwanza,high
N000106,"I lost my job today. (I work as inland transport in transport, based in Dar es Salaam.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Dar es Salaam,high
N000107,"I lost my job today. (I work as inland transport in transport, based in Arusha.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Arusha,high
N000108,"I lost my job today. (I work as inland transport in transport, based in Mwanza.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Mwanza,high
N000109,"I lost my job today. (I work as mining/prospecting in mining, based in Dar es Salaam.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Dar es Salaam,high
N000110,"I lost my job today. (I work as mining/prospecting in mining, based in Arusha.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Arusha,high
N000111,"I lost my job today. (I work as mining/prospecting in mining, based in Mwanza.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Mwanza,high
N000112,"I lost my job today. (I work as secondary school in education, based in Dar es Salaam.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Dar es Salaam,high
N000113,"I lost my job today. (I work as secondary school in education, based in Arusha.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Arusha,high
N000114,"I lost my job today. (I work as secondary school in education, based in Mwanza.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Mwanza,high
N000115,"I lost my job today. (I work as microfinance in finance, based in Dar es Salaam.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Dar es Salaam,high
N000116,"I lost my job today. (I work as microfinance in finance, based in Arusha.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Arusha,high
N000117,"I lost my job today. (I work as microfinance in finance, based in Mwanza.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Mwanza,high
N000118,"I lost my job today. (I work as other sector in other, based in Dar es Salaam.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Dar es Salaam,high
N000119,"I lost my job today. (I work as other sector in other, based in Arusha.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Arusha,high
N000120,"I lost my job today. (I work as other sector in other, based in Mwanza.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Mwanza,high
N000121,"They sacked me without warning. (I work as crops and animal production in agriculture, based in Dar es Salaam.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Dar es Salaam,high
N000122,"They sacked me without warning. (I work as crops and animal production in agriculture, based in Arusha.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Arusha,high
N000123,"They sacked me without warning. (I work as crops and animal production in agriculture, based in Mwanza.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Mwanza,high
N000124,"They sacked me without warning. (I work as dispensary in health, based in Dar es Salaam.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Dar es Salaam,high
N000125,"They sacked me without warning. (I work as dispensary in health, based in Arusha.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Arusha,high
N000126,"They sacked me without warning. (I work as dispensary in health, based in Mwanza.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Mwanza,high
N000127,"They sacked me without warning. (I work as diplomat household in domestic, based in Dar es Salaam.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Dar es Salaam,high
N000128,"They sacked me without warning. (I work as diplomat household in domestic, based in Arusha.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Arusha,high
N000129,"They sacked me without warning. (I work as diplomat household in domestic, based in Mwanza.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Mwanza,high
N000130,"They sacked me without warning. (I work as 3-star hotel in hospitality, based in Dar es Salaam.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Dar es Salaam,high
N000131,"They sacked me without warning. (I work as 3-star hotel in hospitality, based in Arusha.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Arusha,high
N000132,"They sacked me without warning. (I work as 3-star hotel in hospitality, based in Mwanza.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Mwanza,high
N000133,"They sacked me without warning. (I work as domestic security in security, based in Dar es Salaam.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Dar es Salaam,high
N000134,"They sacked me without warning. (I work as domestic security in security, based in Arusha.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Arusha,high
N000135,"They sacked me without warning. (I work as domestic security in security, based in Mwanza.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Mwanza,high
N000136,"They sacked me without warning. (I work as inland transport in transport, based in Dar es Salaam.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Dar es Salaam,high
N000137,"They sacked me without warning. (I work as inland transport in transport, based in Arusha.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Arusha,high
N000138,"They sacked me without warning. (I work as inland transport in transport, based in Mwanza.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Mwanza,high
N000139,"They sacked me without warning. (I work as mining/prospecting in mining, based in Dar es Salaam.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Dar es Salaam,high
N000140,"They sacked me without warning. (I work as mining/prospecting in mining, based in Arusha.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Arusha,high
N000141,"They sacked me without warning. (I work as mining/prospecting in mining, based in Mwanza.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Mwanza,high
N000142,"They sacked me without warning. (I work as secondary school in education, based in Dar es Salaam.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Dar es Salaam,high
N000143,"They sacked me without warning. (I work as secondary school in education, based in Arusha.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Arusha,high
N000144,"They sacked me without warning. (I work as secondary school in education, based in Mwanza.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Mwanza,high
N000145,"They sacked me without warning. (I work as microfinance in finance, based in Dar es Salaam.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Dar es Salaam,high
N000146,"They sacked me without warning. (I work as microfinance in finance, based in Arusha.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Arusha,high
N000147,"They sacked me without warning. (I work as microfinance in finance, based in Mwanza.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Mwanza,high
N000148,"They sacked me without warning. (I work as other sector in other, based in Dar es Salaam.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Dar es Salaam,high
N000149,"They sacked me without warning. (I work as other sector in other, based in Arusha.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Arusha,high
N000150,"They sacked me without warning. (I work as other sector in other, based in Mwanza.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Mwanza,high
N000151,"I was let go after 5 years. (I work as crops and animal production in agriculture, based in Dar es Salaam.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Dar es Salaam,high
N000152,"I was let go after 5 years. (I work as crops and animal production in agriculture, based in Arusha.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Arusha,high
N000153,"I was let go after 5 years. (I work as crops and animal production in agriculture, based in Mwanza.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Mwanza,high
N000154,"I was let go after 5 years. (I work as dispensary in health, based in Dar es Salaam.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Dar es Salaam,high
N000155,"I was let go after 5 years. (I work as dispensary in health, based in Arusha.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Arusha,high
N000156,"I was let go after 5 years. (I work as dispensary in health, based in Mwanza.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Mwanza,high
N000157,"I was let go after 5 years. (I work as diplomat household in domestic, based in Dar es Salaam.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Dar es Salaam,high
N000158,"I was let go after 5 years. (I work as diplomat household in domestic, based in Arusha.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Arusha,high
N000159,"I was let go after 5 years. (I work as diplomat household in domestic, based in Mwanza.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Mwanza,high
N000160,"I was let go after 5 years. (I work as 3-star hotel in hospitality, based in Dar es Salaam.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Dar es Salaam,high
N000161,"I was let go after 5 years. (I work as 3-star hotel in hospitality, based in Arusha.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Arusha,high
N000162,"I was let go after 5 years. (I work as 3-star hotel in hospitality, based in Mwanza.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Mwanza,high
N000163,"I was let go after 5 years. (I work as domestic security in security, based in Dar es Salaam.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Dar es Salaam,high
N000164,"I was let go after 5 years. (I work as domestic security in security, based in Arusha.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Arusha,high
N000165,"I was let go after 5 years. (I work as domestic security in security, based in Mwanza.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Mwanza,high
N000166,"I was let go after 5 years. (I work as inland transport in transport, based in Dar es Salaam.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Dar es Salaam,high
N000167,"I was let go after 5 years. (I work as inland transport in transport, based in Arusha.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Arusha,high
N000168,"I was let go after 5 years. (I work as inland transport in transport, based in Mwanza.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Mwanza,high
N000169,"I was let go after 5 years. (I work as mining/prospecting in mining, based in Dar es Salaam.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Dar es Salaam,high
N000170,"I was let go after 5 years. (I work as mining/prospecting in mining, based in Arusha.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Arusha,high
N000171,"I was let go after 5 years. (I work as mining/prospecting in mining, based in Mwanza.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Mwanza,high
N000172,"I was let go after 5 years. (I work as secondary school in education, based in Dar es Salaam.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Dar es Salaam,high
N000173,"I was let go after 5 years. (I work as secondary school in education, based in Arusha.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Arusha,high
N000174,"I was let go after 5 years. (I work as secondary school in education, based in Mwanza.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Mwanza,high
N000175,"I was let go after 5 years. (I work as microfinance in finance, based in Dar es Salaam.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Dar es Salaam,high
N000176,"I was let go after 5 years. (I work as microfinance in finance, based in Arusha.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Arusha,high
N000177,"I was let go after 5 years. (I work as microfinance in finance, based in Mwanza.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Mwanza,high
N000178,"I was let go after 5 years. (I work as other sector in other, based in Dar es Salaam.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Dar es Salaam,high
N000179,"I was let go after 5 years. (I work as other sector in other, based in Arusha.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Arusha,high
