knowledge_id,type,lang,topic,statement,citation,parameters
K012,procedure,en,misconduct_dismissal,"Misconduct dismissal: 1) investigate, 2) issue written charges, 3) allow ≥7 days to respond, 4) hold hearing with right of representation, 5) decide in writing.",GN 42/2007 Code of Good Practice,steps=5;response_days=7
K012,procedure,sw,misconduct_dismissal,"Kufukuza kwa utovu: 1) chunguza, 2) toa mashtaka kwa maandishi, 3) siku ≥7 kujibu, 4) hearing yenye haki ya uwakilishi, 5) amua kwa maandishi.",GN 42/2007 Code of Good Practice,
K013,procedure,en,retrenchment,"Retrenchment under ELRA s.38: 1) notice of intention, 2) disclose information, 3) consult on reasons/alternatives/criteria/timing/severance, 4) pay severance.",ELRA 2004 s.38,steps=4
K013,procedure,sw,retrenchment,"Operational layoff chini ya ELRA s.38: 1) notisi ya nia, 2) toa taarifa, 3) jadili sababu/njia mbadala/vigezo/muda/kifuta jasho, 4) lipa kifuta jasho.",ELRA 2004 s.38,
K014,timeline,en,cma_referral,Refer dispute to CMA within 60 days of incident (unfair termination). File Form 1. No fee.,CMA Rules,deadline=60d;form=1;fee=0
K014,timeline,sw,cma_referral,Peleka mgogoro CMA ndani ya siku 60 tangu tukio. Jaza Fomu Na. 1. Bila ada.,CMA Rules,
K015,timeline,en,cma_mediation,Mediation must be attempted within 30 days of referral. Mediator may extend by 30 days if a party fails to attend.,ELRA 2004 s.86(7) (LLA 4/2025),days=30;extension=30
K015,timeline,sw,cma_mediation,Upatanishi lazima ufanyike ndani ya siku 30 tangu rufaa. Mpatanishi anaweza kuongeza siku 30.,ELRA 2004 s.86(7) (LLA 4/2025),
K016,timeline,en,cma_arbitration,"After failed mediation, refer to arbitration within 30 days (LLA 4/2025).",ELRA 2004 s.86(7) (LLA 4/2025),days=30
K016,timeline,sw,cma_arbitration,"Baada ya upatanishi kushindikana, peleka usuluhishi ndani ya siku 30.",ELRA 2004 s.86(7) (LLA 4/2025),
K017,timeline,en,labour_court_revision,Apply for revision at Labour Court within 14 days of CMA award.,ELRA s.91,days=14
K017,timeline,sw,labour_court_revision,Omba revision Mahakama ya Kazi ndani ya siku 14 tangu amri ya CMA.,ELRA s.91,
K018,remedies,en,unfair_termination_remedies,"Remedies: (a) reinstatement, (b) re-engagement, (c) compensation. Caps: 6-12mo unfair procedure; 12-18mo unfair reason; 12-24mo both; 12-24mo discrimination/harassment.",ELRA 2004 s.40 (as amended by LLA 4/2025),
K018,remedies,sw,unfair_termination_remedies,"Suluhu: (a) kurudishwa, (b) kuajiriwa upya, (c) fidia. Viwango: miezi 6-12 utaratibu mbovu; 12-18 sababu mbovu; 12-24 zote; 12-24 ubaguzi/unyanyasaji.",ELRA 2004 s.40 (as amended by LLA 4/2025),
K019,rule,en,written_contract,"Employment for >6 months must be in writing under ELRA s.15. Must include: name/address, sector, start date, place, hours, wage, leave, termination grounds.",ELRA s.15,threshold=6mo
K019,rule,sw,written_contract,"Ajira ya zaidi ya miezi 6 lazima iwe kwa maandishi (ELRA s.15). Lazima iwe na: jina/anwani, sekta, tarehe ya kuanza, mahali, masaa, mshahara, likizo, sababu za kufukuzwa.",ELRA s.15,
K020,rule,en,fixed_term_categories,"Permitted fixed-term categories (LLA 4/2025): (1) temporary workload ≤12mo, (2) graduate trainee ≤24mo, (3) seasonal, (4) specific project, (5) non-citizen=permit, (6) public scheme, (7) externally-funded, (8) retiree, (9) tender-based.",ELRA 2004 s.14(1)(b) (LLA 4/2025),count=9
K020,rule,sw,fixed_term_categories,"Aina za fixed-term zinaruhusiwa (LLA 4/2025): (1) kazi ya muda ≤miezi 12, (2) graduate trainee ≤miezi 24, (3) msimu, (4) mradi maalum, (5) raia wa kigeni=kibali, (6) miradi ya umma, (7) ufadhili wa nje, (8) wastaafu, (9) tenda.",ELRA 2004 s.14(1)(b) (LLA 4/2025),
K021,rule,en,discrimination,"Discrimination on grounds of colour, nationality, tribe, race, social origin, political opinion, religion, sex, gender, pregnancy, marital status, family responsibility, disability, HIV/AIDS, age is prohibited.",ELRA 2004 s.7,grounds=many
K021,rule,sw,discrimination,"Ubaguzi kwa msingi wa rangi, utaifa, kabila, asili ya kijamii, mtazamo wa kisiasa, dini, jinsia, mimba, hadhi ya ndoa, jukumu la familia, ulemavu, VVU/UKIMWI, umri ni marufuku.",ELRA 2004 s.7,
K022,rule,en,sexual_harassment,Sexual harassment at workplace by employer or co-employee is unlawful discrimination under ELRA s.7(4).,ELRA s.7(4),
K022,rule,sw,sexual_harassment,Unyanyasaji wa kingono kazini na mwajiri au mfanyakazi mwenzake ni ubaguzi haramu chini ya ELRA s.7(4).,ELRA s.7(4),
K023,timeline,en,wcf_claim_deadline,File workers compensation claim with WCF within 12 months of injury or onset of occupational disease.,WCA 2008,days=365
K023,timeline,sw,wcf_claim_deadline,Wasilisha madai ya fidia WCF ndani ya miezi 12 ya jeraha au mwanzo wa ugonjwa wa kazi.,WCA 2008,
K024,rule,en,payslip_required,"Employer must issue a written payslip each pay period showing gross, deductions, net under ELRA s.27(3).",ELRA s.27(3),
K024,rule,sw,payslip_required,"Mwajiri lazima atoe slip ya mshahara kila kipindi ikionyesha gross, makato, net chini ya ELRA s.27(3).",ELRA s.27(3),
K025,rule,en,lawful_deductions,"Lawful deductions only if: (a) required by law (PAYE/NSSF/NHIF), (b) court ordered, (c) employee written consent.",ELRA s.28,
K025,rule,sw,lawful_deductions,"Makato halali tu kama: (a) yanahitajika na sheria (PAYE/NSSF/NHIF), (b) amri ya mahakama, (c) idhini ya mfanyakazi kwa maandishi.",ELRA s.28,
K026,rule,en,probation_no_cap,Probation has no statutory cap but must be reasonable (commonly 3-6 months). Termination on probation grounds requires written assessment and fair process.,GN 42/2007 Code of Good Practice,
K026,rule,sw,probation_no_cap,Probation haina kikomo cha kisheria lakini lazima iwe halali (miezi 3-6 kawaida). Kufukuza kwa probation kunahitaji tathmini ya maandishi na utaratibu wa haki.,GN 42/2007 Code of Good Practice,
K027,rule,en,transfer_of_business,Change in business ownership does NOT interrupt continuity of employment under ELRA s.37(5). Contracts transfer to new owner.,ELRA s.37(5),
K027,rule,sw,transfer_of_business,Mabadiliko ya umiliki wa biashara HAYAONDOI haki za kazi chini ya ELRA s.37(5). Mikataba inahamia kwa mmiliki mpya.,ELRA s.37(5),
K028,rule,en,rest_day_definition,"Rest day = continuous 24-hour period free from work duties, granted regularly or irregularly (LLA 4/2025).",LLA 4/2025,hours=24
K028,rule,sw,rest_day_definition,"Siku ya mapumziko = kipindi cha mfululizo cha masaa 24 bila kazi, kinatolewa mara kwa mara au kwa wakati.",LLA 4/2025,
K029,rule,en,mediation_attendance,Mediation attendance is now mandatory (LLA 4/2025 amending s.86(6)). Only employees may use a personal representative.,ELRA s.86(6),
K029,rule,sw,mediation_attendance,Kuhudhuria upatanishi sasa ni lazima (LLA 4/2025 ikibadilisha s.86(6)). Wafanyakazi tu wanaweza kutumia personal representative.,ELRA s.86(6),
K030,rule,en,electronic_service,"Service of documents may now be electronic, postal, physical, personal, or via process server (LLA 4/2025 amending s.97).",ELRA s.97,
K030,rule,sw,electronic_service,"Huduma ya nyaraka inaweza kuwa kielektroniki, posta, kimwili, binafsi, au kwa process server (LLA 4/2025 s.97).",ELRA s.97,
K031,rule,en,minor_employment,"Minimum age for employment: 14 (light work only, no school disruption). 18 for hazardous work. Below 14 unlawful (ELRA s.5).",ELRA s.5,min_age=14;hazardous_min=18
K031,rule,sw,minor_employment,"Umri wa chini wa ajira: 14 (kazi nyepesi tu, isiyo na athari kwa shule). 18 kwa kazi hatari. Chini ya 14 ni haramu (ELRA s.5).",ELRA s.5,
K032,procedure,en,grievance_filing,"Internal grievance first; if unresolved within 30 days, refer to CMA Form 1.",ELRA + practice,
K032,procedure,sw,grievance_filing,"Kwanza malalamiko ya ndani; iwapo haijatatuliwa ndani ya siku 30, peleka CMA kwa Fomu Na. 1.",ELRA + utaratibu,
K033,procedure,en,disciplinary_suspension,Suspension during investigation must be on FULL PAY. Indefinite or unpaid suspension is unlawful.,GN 42/2007 Code of Good Practice,
K033,procedure,sw,disciplinary_suspension,Kusimamishwa wakati wa uchunguzi lazima iwe na MALIPO KAMILI. Kusimamishwa bila kikomo au bila malipo ni haramu.,GN 42/2007 Code of Good Practice,
K100,fact,en,minimum_wage,"Minimum monthly wage for crops and animal production in the agriculture sector: TZS 175,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=agriculture;sub_sector=crops and animal production;monthly_tzs=175000
K100,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha kilimo cha mazao na mifugo katika sekta ya kilimo: TZS 175,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=agriculture;sub_sector=crops and animal production;monthly_tzs=175000
K101,fact,en,minimum_wage,"Minimum monthly wage for forestry in the agriculture sector: TZS 185,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=agriculture;sub_sector=forestry;monthly_tzs=185000
K101,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha misitu katika sekta ya kilimo: TZS 185,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=agriculture;sub_sector=forestry;monthly_tzs=185000
K102,fact,en,minimum_wage,"Minimum monthly wage for fishing in the agriculture sector: TZS 300,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=agriculture;sub_sector=fishing;monthly_tzs=300000
K102,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha uvuvi katika sekta ya kilimo: TZS 300,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=agriculture;sub_sector=fishing;monthly_tzs=300000
K103,fact,en,minimum_wage,"Minimum monthly wage for hospital in the health sector: TZS 250,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=health;sub_sector=hospital;monthly_tzs=250000
K103,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha hospitali katika sekta ya afya: TZS 250,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=health;sub_sector=hospital;monthly_tzs=250000
K104,fact,en,minimum_wage,"Minimum monthly wage for health centre in the health sector: TZS 240,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=health;sub_sector=health centre;monthly_tzs=240000
K104,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha kituo cha afya katika sekta ya afya: TZS 240,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=health;sub_sector=health centre;monthly_tzs=240000
K105,fact,en,minimum_wage,"Minimum monthly wage for dispensary in the health sector: TZS 230,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=health;sub_sector=dispensary;monthly_tzs=230000
K105,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha zahanati katika sekta ya afya: TZS 230,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=health;sub_sector=dispensary;monthly_tzs=230000
K106,fact,en,minimum_wage,"Minimum monthly wage for pharmacy in the health sector: TZS 240,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=health;sub_sector=pharmacy;monthly_tzs=240000
K106,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha duka la dawa katika sekta ya afya: TZS 240,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=health;sub_sector=pharmacy;monthly_tzs=240000
K107,fact,en,minimum_wage,"Minimum monthly wage for media in the communications sector: TZS 289,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=communications;sub_sector=media;monthly_tzs=289000
K107,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha vyombo vya habari katika sekta ya mawasiliano: TZS 289,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=communications;sub_sector=media;monthly_tzs=289000
K108,fact,en,minimum_wage,"Minimum monthly wage for telecommunications in the communications sector: TZS 644,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=communications;sub_sector=telecommunications;monthly_tzs=644000
K108,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha mawasiliano ya simu katika sekta ya mawasiliano: TZS 644,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=communications;sub_sector=telecommunications;monthly_tzs=644000
K109,fact,en,minimum_wage,"Minimum monthly wage for call centre in the communications sector: TZS 380,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=communications;sub_sector=call centre;monthly_tzs=380000
K109,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha call centre katika sekta ya mawasiliano: TZS 380,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=communications;sub_sector=call centre;monthly_tzs=380000
K110,fact,en,minimum_wage,"Minimum monthly wage for diplomat household in the domestic sector: TZS 328,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=domestic;sub_sector=diplomat household;monthly_tzs=328000
K110,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha kazi nyumbani ya balozi katika sekta ya kazi za nyumbani: TZS 328,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=domestic;sub_sector=diplomat household;monthly_tzs=328000
K111,fact,en,minimum_wage,"Minimum monthly wage for entitled-officer household in the domestic sector: TZS 265,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=domestic;sub_sector=entitled-officer household;monthly_tzs=265000
K111,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha kazi nyumbani ya afisa katika sekta ya kazi za nyumbani: TZS 265,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=domestic;sub_sector=entitled-officer household;monthly_tzs=265000
K112,fact,en,minimum_wage,"Minimum monthly wage for non-resident domestic in the domestic sector: TZS 160,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=domestic;sub_sector=non-resident domestic;monthly_tzs=160000
K112,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha nyumbani asiyekaa katika sekta ya kazi za nyumbani: TZS 160,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=domestic;sub_sector=non-resident domestic;monthly_tzs=160000
K113,fact,en,minimum_wage,"Minimum monthly wage for other domestic in the domestic sector: TZS 80,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=domestic;sub_sector=other domestic;monthly_tzs=80000
K113,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha nyumbani kawaida katika sekta ya kazi za nyumbani: TZS 80,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=domestic;sub_sector=other domestic;monthly_tzs=80000
K114,fact,en,minimum_wage,"Minimum monthly wage for 5/4-star hotel in the hospitality sector: TZS 375,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=hospitality;sub_sector=5/4-star hotel;monthly_tzs=375000
K114,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha hoteli nyota 5/4 katika sekta ya ukarimu: TZS 375,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=hospitality;sub_sector=5/4-star hotel;monthly_tzs=375000
K115,fact,en,minimum_wage,"Minimum monthly wage for 3-star hotel in the hospitality sector: TZS 225,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=hospitality;sub_sector=3-star hotel;monthly_tzs=225000
K115,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha hoteli nyota 3 katika sekta ya ukarimu: TZS 225,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=hospitality;sub_sector=3-star hotel;monthly_tzs=225000
K116,fact,en,minimum_wage,"Minimum monthly wage for 1/2-star hotel in the hospitality sector: TZS 195,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=hospitality;sub_sector=1/2-star hotel;monthly_tzs=195000
K116,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha hoteli nyota 1/2 katika sekta ya ukarimu: TZS 195,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=hospitality;sub_sector=1/2-star hotel;monthly_tzs=195000
K117,fact,en,minimum_wage,"Minimum monthly wage for tour guide in the hospitality sector: TZS 320,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=hospitality;sub_sector=tour guide;monthly_tzs=320000
K117,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha tour guide katika sekta ya ukarimu: TZS 320,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=hospitality;sub_sector=tour guide;monthly_tzs=320000
K118,fact,en,minimum_wage,"Minimum monthly wage for tourist porter in the hospitality sector: TZS 225,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=hospitality;sub_sector=tourist porter;monthly_tzs=225000
K118,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha muhudumu wa mizigo katika sekta ya ukarimu: TZS 225,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=hospitality;sub_sector=tourist porter;monthly_tzs=225000
K119,fact,en,minimum_wage,"Minimum monthly wage for international security in the security sector: TZS 292,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=security;sub_sector=international security;monthly_tzs=292000
K119,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha ulinzi kimataifa katika sekta ya ulinzi: TZS 292,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=security;sub_sector=international security;monthly_tzs=292000
K120,fact,en,minimum_wage,"Minimum monthly wage for domestic security in the security sector: TZS 197,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=security;sub_sector=domestic security;monthly_tzs=197000
K120,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha ulinzi wa ndani katika sekta ya ulinzi: TZS 197,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=security;sub_sector=domestic security;monthly_tzs=197000
K121,fact,en,minimum_wage,"Minimum monthly wage for international energy in the energy sector: TZS 765,900 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=energy;sub_sector=international energy;monthly_tzs=765900
K121,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha nishati kimataifa katika sekta ya nishati: TZS 765,900 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=energy;sub_sector=international energy;monthly_tzs=765900
K122,fact,en,minimum_wage,"Minimum monthly wage for domestic energy in the energy sector: TZS 297,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=energy;sub_sector=domestic energy;monthly_tzs=297000
K122,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha nishati ya ndani katika sekta ya nishati: TZS 297,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=energy;sub_sector=domestic energy;monthly_tzs=297000
K123,fact,en,minimum_wage,"Minimum monthly wage for aviation in the transport sector: TZS 498,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=transport;sub_sector=aviation;monthly_tzs=498000
K123,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha usafiri wa anga katika sekta ya usafiri: TZS 498,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=transport;sub_sector=aviation;monthly_tzs=498000
K124,fact,en,minimum_wage,"Minimum monthly wage for freight clearing in the transport sector: TZS 464,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=transport;sub_sector=freight clearing;monthly_tzs=464000
K124,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha freight clearing katika sekta ya usafiri: TZS 464,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=transport;sub_sector=freight clearing;monthly_tzs=464000
K125,fact,en,minimum_wage,"Minimum monthly wage for inland transport in the transport sector: TZS 398,500 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=transport;sub_sector=inland transport;monthly_tzs=398500
K125,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha usafiri wa nchi kavu katika sekta ya usafiri: TZS 398,500 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=transport;sub_sector=inland transport;monthly_tzs=398500
K126,fact,en,minimum_wage,"Minimum monthly wage for postal/courier in the transport sector: TZS 287,500 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=transport;sub_sector=postal/courier;monthly_tzs=287500
K126,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha posta/courier katika sekta ya usafiri: TZS 287,500 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=transport;sub_sector=postal/courier;monthly_tzs=287500
K127,fact,en,minimum_wage,"Minimum monthly wage for Contractor I in the construction sector: TZS 515,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=construction;sub_sector=Contractor I;monthly_tzs=515000
K127,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha Contractor I katika sekta ya ujenzi: TZS 515,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=construction;sub_sector=Contractor I;monthly_tzs=515000
K128,fact,en,minimum_wage,"Minimum monthly wage for Contractor II-IV in the construction sector: TZS 464,500 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=construction;sub_sector=Contractor II-IV;monthly_tzs=464500
K128,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha Contractor II-IV katika sekta ya ujenzi: TZS 464,500 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=construction;sub_sector=Contractor II-IV;monthly_tzs=464500
K129,fact,en,minimum_wage,"Minimum monthly wage for Contractor V-VII in the construction sector: TZS 398,500 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=construction;sub_sector=Contractor V-VII;monthly_tzs=398500
K129,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha Contractor V-VII katika sekta ya ujenzi: TZS 398,500 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=construction;sub_sector=Contractor V-VII;monthly_tzs=398500
K130,fact,en,minimum_wage,"Minimum monthly wage for mining/prospecting in the mining sector: TZS 695,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=mining;sub_sector=mining/prospecting;monthly_tzs=695000
K130,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha uchimbaji katika sekta ya uchimbaji: TZS 695,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=mining;sub_sector=mining/prospecting;monthly_tzs=695000
K131,fact,en,minimum_wage,"Minimum monthly wage for primary licence in the mining sector: TZS 397,600 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=mining;sub_sector=primary licence;monthly_tzs=397600
K131,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha leseni ya msingi katika sekta ya uchimbaji: TZS 397,600 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=mining;sub_sector=primary licence;monthly_tzs=397600
K132,fact,en,minimum_wage,"Minimum monthly wage for dealer licence in the mining sector: TZS 595,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=mining;sub_sector=dealer licence;monthly_tzs=595000
