id,sentence,lang,extracted_name,extracted_occupation,extracted_sector,extracted_sub_sector,extracted_region,extracted_years,extracted_role,bot_response
I00012,"Hi, I'm John. I work as a driver.",en,John,driver,transport,inland transport,Mwanza,5,employee,Hello John. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00013,"I am John, occupation driver, sector transport.",en,John,driver,transport,inland transport,Dar es Salaam,1,employee,Hello John. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00014,"I am John, occupation driver, sector transport.",en,John,driver,transport,inland transport,Dar es Salaam,5,employee,Hello John. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00015,"I am John, occupation driver, sector transport.",en,John,driver,transport,inland transport,Arusha,1,employee,Hello John. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00016,"I am John, occupation driver, sector transport.",en,John,driver,transport,inland transport,Arusha,5,employee,Hello John. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00017,"I am John, occupation driver, sector transport.",en,John,driver,transport,inland transport,Mwanza,1,employee,Hello John. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00018,"I am John, occupation driver, sector transport.",en,John,driver,transport,inland transport,Mwanza,5,employee,Hello John. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00019,"My name is Mary, I'm a driver in transport.",en,Mary,driver,transport,inland transport,Dar es Salaam,1,employee,Hello Mary. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00020,"My name is Mary, I'm a driver in transport.",en,Mary,driver,transport,inland transport,Dar es Salaam,5,employee,Hello Mary. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00021,"My name is Mary, I'm a driver in transport.",en,Mary,driver,transport,inland transport,Arusha,1,employee,Hello Mary. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00022,"My name is Mary, I'm a driver in transport.",en,Mary,driver,transport,inland transport,Arusha,5,employee,Hello Mary. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00023,"My name is Mary, I'm a driver in transport.",en,Mary,driver,transport,inland transport,Mwanza,1,employee,Hello Mary. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00024,"My name is Mary, I'm a driver in transport.",en,Mary,driver,transport,inland transport,Mwanza,5,employee,Hello Mary. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00025,"Hi, I'm Mary. I work as a driver.",en,Mary,driver,transport,inland transport,Dar es Salaam,1,employee,Hello Mary. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00026,"Hi, I'm Mary. I work as a driver.",en,Mary,driver,transport,inland transport,Dar es Salaam,5,employee,Hello Mary. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00027,"Hi, I'm Mary. I work as a driver.",en,Mary,driver,transport,inland transport,Arusha,1,employee,Hello Mary. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00028,"Hi, I'm Mary. I work as a driver.",en,Mary,driver,transport,inland transport,Arusha,5,employee,Hello Mary. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00029,"Hi, I'm Mary. I work as a driver.",en,Mary,driver,transport,inland transport,Mwanza,1,employee,Hello Mary. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00030,"Hi, I'm Mary. I work as a driver.",en,Mary,driver,transport,inland transport,Mwanza,5,employee,Hello Mary. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00031,"I am Mary, occupation driver, sector transport.",en,Mary,driver,transport,inland transport,Dar es Salaam,1,employee,Hello Mary. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00032,"I am Mary, occupation driver, sector transport.",en,Mary,driver,transport,inland transport,Dar es Salaam,5,employee,Hello Mary. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00033,"I am Mary, occupation driver, sector transport.",en,Mary,driver,transport,inland transport,Arusha,1,employee,Hello Mary. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00034,"I am Mary, occupation driver, sector transport.",en,Mary,driver,transport,inland transport,Arusha,5,employee,Hello Mary. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00035,"I am Mary, occupation driver, sector transport.",en,Mary,driver,transport,inland transport,Mwanza,1,employee,Hello Mary. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00036,"I am Mary, occupation driver, sector transport.",en,Mary,driver,transport,inland transport,Mwanza,5,employee,Hello Mary. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00037,"My name is James, I'm a driver in transport.",en,James,driver,transport,inland transport,Dar es Salaam,1,employee,Hello James. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00038,"My name is James, I'm a driver in transport.",en,James,driver,transport,inland transport,Dar es Salaam,5,employee,Hello James. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00039,"My name is James, I'm a driver in transport.",en,James,driver,transport,inland transport,Arusha,1,employee,Hello James. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00040,"My name is James, I'm a driver in transport.",en,James,driver,transport,inland transport,Arusha,5,employee,Hello James. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00041,"My name is James, I'm a driver in transport.",en,James,driver,transport,inland transport,Mwanza,1,employee,Hello James. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00042,"My name is James, I'm a driver in transport.",en,James,driver,transport,inland transport,Mwanza,5,employee,Hello James. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00043,"Hi, I'm James. I work as a driver.",en,James,driver,transport,inland transport,Dar es Salaam,1,employee,Hello James. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00044,"Hi, I'm James. I work as a driver.",en,James,driver,transport,inland transport,Dar es Salaam,5,employee,Hello James. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00045,"Hi, I'm James. I work as a driver.",en,James,driver,transport,inland transport,Arusha,1,employee,Hello James. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00046,"Hi, I'm James. I work as a driver.",en,James,driver,transport,inland transport,Arusha,5,employee,Hello James. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00047,"Hi, I'm James. I work as a driver.",en,James,driver,transport,inland transport,Mwanza,1,employee,Hello James. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00048,"Hi, I'm James. I work as a driver.",en,James,driver,transport,inland transport,Mwanza,5,employee,Hello James. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00049,"I am James, occupation driver, sector transport.",en,James,driver,transport,inland transport,Dar es Salaam,1,employee,Hello James. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00050,"I am James, occupation driver, sector transport.",en,James,driver,transport,inland transport,Dar es Salaam,5,employee,Hello James. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00051,"I am James, occupation driver, sector transport.",en,James,driver,transport,inland transport,Arusha,1,employee,Hello James. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00052,"I am James, occupation driver, sector transport.",en,James,driver,transport,inland transport,Arusha,5,employee,Hello James. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00053,"I am James, occupation driver, sector transport.",en,James,driver,transport,inland transport,Mwanza,1,employee,Hello James. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00054,"I am James, occupation driver, sector transport.",en,James,driver,transport,inland transport,Mwanza,5,employee,Hello James. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00055,"My name is Grace, I'm a driver in transport.",en,Grace,driver,transport,inland transport,Dar es Salaam,1,employee,Hello Grace. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00056,"My name is Grace, I'm a driver in transport.",en,Grace,driver,transport,inland transport,Dar es Salaam,5,employee,Hello Grace. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00057,"My name is Grace, I'm a driver in transport.",en,Grace,driver,transport,inland transport,Arusha,1,employee,Hello Grace. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00058,"My name is Grace, I'm a driver in transport.",en,Grace,driver,transport,inland transport,Arusha,5,employee,Hello Grace. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00059,"My name is Grace, I'm a driver in transport.",en,Grace,driver,transport,inland transport,Mwanza,1,employee,Hello Grace. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00060,"My name is Grace, I'm a driver in transport.",en,Grace,driver,transport,inland transport,Mwanza,5,employee,Hello Grace. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00061,"Hi, I'm Grace. I work as a driver.",en,Grace,driver,transport,inland transport,Dar es Salaam,1,employee,Hello Grace. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00062,"Hi, I'm Grace. I work as a driver.",en,Grace,driver,transport,inland transport,Dar es Salaam,5,employee,Hello Grace. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00063,"Hi, I'm Grace. I work as a driver.",en,Grace,driver,transport,inland transport,Arusha,1,employee,Hello Grace. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00064,"Hi, I'm Grace. I work as a driver.",en,Grace,driver,transport,inland transport,Arusha,5,employee,Hello Grace. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00065,"Hi, I'm Grace. I work as a driver.",en,Grace,driver,transport,inland transport,Mwanza,1,employee,Hello Grace. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00066,"Hi, I'm Grace. I work as a driver.",en,Grace,driver,transport,inland transport,Mwanza,5,employee,Hello Grace. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00067,"I am Grace, occupation driver, sector transport.",en,Grace,driver,transport,inland transport,Dar es Salaam,1,employee,Hello Grace. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00068,"I am Grace, occupation driver, sector transport.",en,Grace,driver,transport,inland transport,Dar es Salaam,5,employee,Hello Grace. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00069,"I am Grace, occupation driver, sector transport.",en,Grace,driver,transport,inland transport,Arusha,1,employee,Hello Grace. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00070,"I am Grace, occupation driver, sector transport.",en,Grace,driver,transport,inland transport,Arusha,5,employee,Hello Grace. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00071,"I am Grace, occupation driver, sector transport.",en,Grace,driver,transport,inland transport,Mwanza,1,employee,Hello Grace. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00072,"I am Grace, occupation driver, sector transport.",en,Grace,driver,transport,inland transport,Mwanza,5,employee,Hello Grace. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00073,"My name is Joseph, I'm a driver in transport.",en,Joseph,driver,transport,inland transport,Dar es Salaam,1,employee,Hello Joseph. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00074,"My name is Joseph, I'm a driver in transport.",en,Joseph,driver,transport,inland transport,Dar es Salaam,5,employee,Hello Joseph. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00075,"My name is Joseph, I'm a driver in transport.",en,Joseph,driver,transport,inland transport,Arusha,1,employee,Hello Joseph. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00076,"My name is Joseph, I'm a driver in transport.",en,Joseph,driver,transport,inland transport,Arusha,5,employee,Hello Joseph. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00077,"My name is Joseph, I'm a driver in transport.",en,Joseph,driver,transport,inland transport,Mwanza,1,employee,Hello Joseph. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00078,"My name is Joseph, I'm a driver in transport.",en,Joseph,driver,transport,inland transport,Mwanza,5,employee,Hello Joseph. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00079,"Hi, I'm Joseph. I work as a driver.",en,Joseph,driver,transport,inland transport,Dar es Salaam,1,employee,Hello Joseph. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00080,"Hi, I'm Joseph. I work as a driver.",en,Joseph,driver,transport,inland transport,Dar es Salaam,5,employee,Hello Joseph. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00081,"Hi, I'm Joseph. I work as a driver.",en,Joseph,driver,transport,inland transport,Arusha,1,employee,Hello Joseph. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00082,"Hi, I'm Joseph. I work as a driver.",en,Joseph,driver,transport,inland transport,Arusha,5,employee,Hello Joseph. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00083,"Hi, I'm Joseph. I work as a driver.",en,Joseph,driver,transport,inland transport,Mwanza,1,employee,Hello Joseph. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00084,"Hi, I'm Joseph. I work as a driver.",en,Joseph,driver,transport,inland transport,Mwanza,5,employee,Hello Joseph. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00085,"I am Joseph, occupation driver, sector transport.",en,Joseph,driver,transport,inland transport,Dar es Salaam,1,employee,Hello Joseph. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00086,"I am Joseph, occupation driver, sector transport.",en,Joseph,driver,transport,inland transport,Dar es Salaam,5,employee,Hello Joseph. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00087,"I am Joseph, occupation driver, sector transport.",en,Joseph,driver,transport,inland transport,Arusha,1,employee,Hello Joseph. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00088,"I am Joseph, occupation driver, sector transport.",en,Joseph,driver,transport,inland transport,Arusha,5,employee,Hello Joseph. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00089,"I am Joseph, occupation driver, sector transport.",en,Joseph,driver,transport,inland transport,Mwanza,1,employee,Hello Joseph. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00090,"I am Joseph, occupation driver, sector transport.",en,Joseph,driver,transport,inland transport,Mwanza,5,employee,Hello Joseph. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00091,"Jina langu ni Asha, mimi ni dereva usafiri.",sw,Asha,driver,transport,inland transport,Dar es Salaam,1,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00092,"Jina langu ni Asha, mimi ni dereva usafiri.",sw,Asha,driver,transport,inland transport,Dar es Salaam,5,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00093,"Jina langu ni Asha, mimi ni dereva usafiri.",sw,Asha,driver,transport,inland transport,Arusha,1,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00094,"Jina langu ni Asha, mimi ni dereva usafiri.",sw,Asha,driver,transport,inland transport,Arusha,5,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00095,"Jina langu ni Asha, mimi ni dereva usafiri.",sw,Asha,driver,transport,inland transport,Mwanza,1,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00096,"Jina langu ni Asha, mimi ni dereva usafiri.",sw,Asha,driver,transport,inland transport,Mwanza,5,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00097,"Habari, mimi ni Asha. Nafanya kazi ya dereva.",sw,Asha,driver,transport,inland transport,Dar es Salaam,1,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00098,"Habari, mimi ni Asha. Nafanya kazi ya dereva.",sw,Asha,driver,transport,inland transport,Dar es Salaam,5,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00099,"Habari, mimi ni Asha. Nafanya kazi ya dereva.",sw,Asha,driver,transport,inland transport,Arusha,1,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00100,"Habari, mimi ni Asha. Nafanya kazi ya dereva.",sw,Asha,driver,transport,inland transport,Arusha,5,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00101,"Habari, mimi ni Asha. Nafanya kazi ya dereva.",sw,Asha,driver,transport,inland transport,Mwanza,1,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00102,"Habari, mimi ni Asha. Nafanya kazi ya dereva.",sw,Asha,driver,transport,inland transport,Mwanza,5,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00103,"Mimi ni Asha, kazi yangu ni dereva, sekta ya usafiri.",sw,Asha,driver,transport,inland transport,Dar es Salaam,1,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00104,"Mimi ni Asha, kazi yangu ni dereva, sekta ya usafiri.",sw,Asha,driver,transport,inland transport,Dar es Salaam,5,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00105,"Mimi ni Asha, kazi yangu ni dereva, sekta ya usafiri.",sw,Asha,driver,transport,inland transport,Arusha,1,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00106,"Mimi ni Asha, kazi yangu ni dereva, sekta ya usafiri.",sw,Asha,driver,transport,inland transport,Arusha,5,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00107,"Mimi ni Asha, kazi yangu ni dereva, sekta ya usafiri.",sw,Asha,driver,transport,inland transport,Mwanza,1,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00108,"Mimi ni Asha, kazi yangu ni dereva, sekta ya usafiri.",sw,Asha,driver,transport,inland transport,Mwanza,5,employee,Habari Asha. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00109,"Jina langu ni Juma, mimi ni dereva usafiri.",sw,Juma,driver,transport,inland transport,Dar es Salaam,1,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00110,"Jina langu ni Juma, mimi ni dereva usafiri.",sw,Juma,driver,transport,inland transport,Dar es Salaam,5,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00111,"Jina langu ni Juma, mimi ni dereva usafiri.",sw,Juma,driver,transport,inland transport,Arusha,1,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00112,"Jina langu ni Juma, mimi ni dereva usafiri.",sw,Juma,driver,transport,inland transport,Arusha,5,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00113,"Jina langu ni Juma, mimi ni dereva usafiri.",sw,Juma,driver,transport,inland transport,Mwanza,1,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00114,"Jina langu ni Juma, mimi ni dereva usafiri.",sw,Juma,driver,transport,inland transport,Mwanza,5,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00115,"Habari, mimi ni Juma. Nafanya kazi ya dereva.",sw,Juma,driver,transport,inland transport,Dar es Salaam,1,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00116,"Habari, mimi ni Juma. Nafanya kazi ya dereva.",sw,Juma,driver,transport,inland transport,Dar es Salaam,5,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00117,"Habari, mimi ni Juma. Nafanya kazi ya dereva.",sw,Juma,driver,transport,inland transport,Arusha,1,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00118,"Habari, mimi ni Juma. Nafanya kazi ya dereva.",sw,Juma,driver,transport,inland transport,Arusha,5,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00119,"Habari, mimi ni Juma. Nafanya kazi ya dereva.",sw,Juma,driver,transport,inland transport,Mwanza,1,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00120,"Habari, mimi ni Juma. Nafanya kazi ya dereva.",sw,Juma,driver,transport,inland transport,Mwanza,5,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00121,"Mimi ni Juma, kazi yangu ni dereva, sekta ya usafiri.",sw,Juma,driver,transport,inland transport,Dar es Salaam,1,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00122,"Mimi ni Juma, kazi yangu ni dereva, sekta ya usafiri.",sw,Juma,driver,transport,inland transport,Dar es Salaam,5,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00123,"Mimi ni Juma, kazi yangu ni dereva, sekta ya usafiri.",sw,Juma,driver,transport,inland transport,Arusha,1,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00124,"Mimi ni Juma, kazi yangu ni dereva, sekta ya usafiri.",sw,Juma,driver,transport,inland transport,Arusha,5,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00125,"Mimi ni Juma, kazi yangu ni dereva, sekta ya usafiri.",sw,Juma,driver,transport,inland transport,Mwanza,1,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00126,"Mimi ni Juma, kazi yangu ni dereva, sekta ya usafiri.",sw,Juma,driver,transport,inland transport,Mwanza,5,employee,Habari Juma. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00127,"Jina langu ni Fatuma, mimi ni dereva usafiri.",sw,Fatuma,driver,transport,inland transport,Dar es Salaam,1,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00128,"Jina langu ni Fatuma, mimi ni dereva usafiri.",sw,Fatuma,driver,transport,inland transport,Dar es Salaam,5,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00129,"Jina langu ni Fatuma, mimi ni dereva usafiri.",sw,Fatuma,driver,transport,inland transport,Arusha,1,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00130,"Jina langu ni Fatuma, mimi ni dereva usafiri.",sw,Fatuma,driver,transport,inland transport,Arusha,5,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00131,"Jina langu ni Fatuma, mimi ni dereva usafiri.",sw,Fatuma,driver,transport,inland transport,Mwanza,1,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00132,"Jina langu ni Fatuma, mimi ni dereva usafiri.",sw,Fatuma,driver,transport,inland transport,Mwanza,5,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00133,"Habari, mimi ni Fatuma. Nafanya kazi ya dereva.",sw,Fatuma,driver,transport,inland transport,Dar es Salaam,1,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00134,"Habari, mimi ni Fatuma. Nafanya kazi ya dereva.",sw,Fatuma,driver,transport,inland transport,Dar es Salaam,5,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00135,"Habari, mimi ni Fatuma. Nafanya kazi ya dereva.",sw,Fatuma,driver,transport,inland transport,Arusha,1,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00136,"Habari, mimi ni Fatuma. Nafanya kazi ya dereva.",sw,Fatuma,driver,transport,inland transport,Arusha,5,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00137,"Habari, mimi ni Fatuma. Nafanya kazi ya dereva.",sw,Fatuma,driver,transport,inland transport,Mwanza,1,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00138,"Habari, mimi ni Fatuma. Nafanya kazi ya dereva.",sw,Fatuma,driver,transport,inland transport,Mwanza,5,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Mwanza. Una swali gani la kazi?
I00139,"Mimi ni Fatuma, kazi yangu ni dereva, sekta ya usafiri.",sw,Fatuma,driver,transport,inland transport,Dar es Salaam,1,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00140,"Mimi ni Fatuma, kazi yangu ni dereva, sekta ya usafiri.",sw,Fatuma,driver,transport,inland transport,Dar es Salaam,5,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Dar es Salaam. Una swali gani la kazi?
I00141,"Mimi ni Fatuma, kazi yangu ni dereva, sekta ya usafiri.",sw,Fatuma,driver,transport,inland transport,Arusha,1,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
I00142,"Mimi ni Fatuma, kazi yangu ni dereva, sekta ya usafiri.",sw,Fatuma,driver,transport,inland transport,Arusha,5,employee,Habari Fatuma. Naona ni dereva sekta ya usafiri kutoka Arusha. Una swali gani la kazi?
